,range,max_range,x,y
0,2.194000005722046,3.242000102996826,44.80844641833333,-79.9660417
1,2.2149999141693115,3.2739999294281006,44.80844641833333,-79.9660417
2,2.23799991607666,3.305999994277954,44.80844641833333,-79.9660417
3,2.253000020980835,3.3410000801086426,44.80844641833333,-79.9660417
4,2.2750000953674316,3.361999988555908,44.80844641833333,-79.9660417
5,2.303999900817871,3.3949999809265137,44.80844641833333,-79.9660417
6,2.3310000896453857,3.440000057220459,44.80844641833333,-79.9660417
7,2.3510000705718994,3.4800000190734863,44.80844641833333,-79.9660417
8,2.368000030517578,3.509999990463257,44.80844641833333,-79.9660417
9,2.3910000324249268,3.5350000858306885,44.80844641833333,-79.9660417
10,2.4049999713897705,3.568000078201294,44.80844641833333,-79.9660417
11,2.4230000972747803,3.5899999141693115,44.80844641833333,-79.9660417
12,2.440999984741211,3.617000102996826,44.80844641833333,-79.9660417
13,2.4579999446868896,3.6440000534057617,44.80844641833333,-79.9660417
14,2.4860000610351562,3.6689999103546143,44.80844641833333,-79.9660417
15,2.507999897003174,3.7109999656677246,44.80844641833333,-79.9660417
16,2.5299999713897705,3.743000030517578,44.80844641833333,-79.9660417
17,2.5480000972747803,3.7760000228881836,44.80844641833333,-79.9660417
18,2.569000005722046,3.802999973297119,44.80844641833333,-79.9660417
19,2.5889999866485596,3.8340001106262207,44.80844641833333,-79.9660417
20,2.5889999866485596,3.864000082015991,44.80844641833333,-79.9660417
21,2.6070001125335693,3.864000082015991,44.80844641833333,-79.9660417
22,2.625,3.8919999599456787,44.80844641833333,-79.9660417
23,2.63700008392334,3.9179999828338623,44.80844641833333,-79.9660417
24,2.6489999294281006,3.936000108718872,44.80844641833333,-79.9660417
25,2.6610000133514404,3.9549999237060547,44.80844641833333,-79.9660417
26,2.674999952316284,3.9719998836517334,44.80844641833333,-79.9660417
27,2.686000108718872,3.992000102996826,44.80844641833333,-79.9660417
28,2.7060000896453857,4.008999824523926,44.80844641833333,-79.9660417
29,2.7149999141693115,4.039000034332275,44.80844641833333,-79.9660417
30,2.7230000495910645,4.052000045776367,44.80844641833333,-79.9660417
31,2.736999988555908,4.065000057220459,44.80844641833333,-79.9660417
32,2.755000114440918,4.085999965667725,44.80844641833333,-79.9660417
33,2.7739999294281006,4.11299991607666,44.80844641833333,-79.9660417
34,2.7820000648498535,4.140999794006348,44.80844641833333,-79.9660417
35,2.7929999828338623,4.1519999504089355,44.80844641833333,-79.9660417
36,2.808000087738037,4.169000148773193,44.80844641833333,-79.9660417
37,2.818000078201294,4.191999912261963,44.80844641833333,-79.9660417
38,2.8289999961853027,4.206999778747559,44.80844641833333,-79.9660417
39,2.8380000591278076,4.2230000495910645,44.80844641833333,-79.9660417
40,2.86899995803833,4.236999988555908,44.80844641833333,-79.9660417
41,2.878999948501587,4.2820000648498535,44.80844641833333,-79.9660417
42,2.8949999809265137,4.297999858856201,44.80844641833333,-79.9660417
43,2.9119999408721924,4.321000099182129,44.80844641833333,-79.9660417
44,2.9230000972747803,4.3470001220703125,44.80844641833333,-79.9660417
45,2.931999921798706,4.361999988555908,44.80844641833333,-79.9660417
46,2.944000005722046,4.375999927520752,44.80844641833333,-79.9660417
47,2.9590001106262207,4.394000053405762,44.80844641833333,-79.9660417
48,2.9649999141693115,4.416999816894531,44.80844641833333,-79.9660417
49,2.9800000190734863,4.426000118255615,44.80844641833333,-79.9660417
50,2.990999937057495,4.447999954223633,44.80844641833333,-79.9660417
51,3.005000114440918,4.465000152587891,44.80844641833333,-79.9660417
52,3.0160000324249268,4.486000061035156,44.80844641833333,-79.9660417
53,3.0220000743865967,4.501999855041504,44.80844641833333,-79.9660417
54,3.0339999198913574,4.511000156402588,44.80844641833333,-79.9660417
55,3.0409998893737793,4.5279998779296875,44.80844641833333,-79.9660417
56,3.0439999103546143,4.539000034332275,44.80844641833333,-79.9660417
57,3.052000045776367,4.544000148773193,44.80844641833333,-79.9660417
58,3.059999942779541,4.554999828338623,44.80844641833333,-79.9660417
59,3.069000005722046,4.566999912261963,44.80844641833333,-79.9660417
60,3.066999912261963,4.579999923706055,44.80844641833333,-79.9660417
61,3.072000026702881,4.577000141143799,44.80844641833333,-79.9660417
62,3.0759999752044678,4.585000038146973,44.80844641833333,-79.9660417
63,3.0789999961853027,4.591000080108643,44.80844641833333,-79.9660417
64,3.1029999256134033,4.5960001945495605,44.80844641833333,-79.9660417
65,3.11299991607666,4.631999969482422,44.80844641833333,-79.9660417
66,3.121000051498413,4.645999908447266,44.80844641833333,-79.9660417
67,3.127000093460083,4.658999919891357,44.80844641833333,-79.9660417
68,3.13700008392334,4.668000221252441,44.80844641833333,-79.9660417
69,3.134000062942505,4.683000087738037,44.80844641833333,-79.9660417
70,3.13100004196167,4.677999973297119,44.80844641833333,-79.9660417
71,3.130000114440918,4.672999858856201,44.80844641833333,-79.9660417
72,3.119999885559082,4.671999931335449,44.80844641833333,-79.9660417
73,3.124000072479248,4.6570000648498535,44.80844641833333,-79.9660417
74,3.13100004196167,4.663000106811523,44.80844641833333,-79.9660417
75,3.132999897003174,4.673999786376953,44.80844641833333,-79.9660417
76,3.134999990463257,4.677000045776367,44.80844641833333,-79.9660417
77,3.13700008392334,4.678999900817871,44.80844641833333,-79.9660417
78,3.1389999389648438,4.682000160217285,44.80844641833333,-79.9660417
79,3.1510000228881836,4.685999870300293,44.80844641833333,-79.9660417
80,3.1540000438690186,4.703000068664551,44.80844641833333,-79.9660417
81,3.1610000133514404,4.706999778747559,44.80844641833333,-79.9660417
